date,config,expected_uncovered,cvar_uncovered,expected_demand,cvar_demand,units,districts_served,want_pompa,want_truk
2015-04-15,B1,17145036,18187579,17369369,18434245,95,18,488,6892
2015-04-15,B2,17156194,18186912,17369369,18434245,95,20,488,6892
2015-04-15,B3,17115977,18012123,17369369,18434245,95,19,488,6892
2015-04-16,B0,17514734,18558266,17514734,18558266,0,0,479,6892
2015-04-16,B1,17290468,18282266,17514734,18558266,95,17,479,6892
2015-04-16,B2,17304968,18278933,17514734,18558266,95,18,479,6892
2015-04-16,B3,17271187,18143707,17514734,18496519,95,17,479,6892
2015-04-17,B0,17344282,18860155,17344282,18860155,0,0,482,6892
2015-04-17,B1,17112948,18584822,17344282,18860155,95,16,482,6892
2015-04-17,B2,17125582,18596155,17344282,18860155,95,18,482,6892
2015-04-17,B3,17121755,18507600,17344282,18860155,95,14,482,6892
2015-04-18,B0,17166763,18352165,17166763,18352165,0,0,438,6892
2015-04-18,B1,16955963,18101832,17166763,18352165,95,17,438,6892
2015-04-18,B2,16965830,18110165,17166763,18352165,95,19,438,6892
2015-04-18,B3,16961575,17967240,17166763,18324724,95,11,438,6892
2015-04-19,B0,16980199,18090391,16980199,18090391,0,0,380,6892
2015-04-19,B1,16815332,17915724,16980199,18090391,95,21,380,6892
2015-04-19,B2,16833299,17923057,16980199,18090391,95,24,380,6892
2015-04-19,B3,16809245,17744958,16980199,18090391,95,12,380,6892
2015-04-20,B0,16988946,18216989,16988946,18216989,0,0,373,6892
2015-04-20,B1,16814312,18046656,16988946,18216989,95,19,373,6892
2015-04-20,B2,16823512,18059656,16988946,18216989,95,24,373,6892
2015-04-20,B3,16776949,17835933,16988946,18216989,95,13,373,6892
2015-04-21,B0,17141357,18109417,17141357,18109417,0,0,367,6892
2015-04-21,B1,16936090,17829750,17141357,18109417,95,20,367,6892
2015-04-21,B2,16944057,17832093,17141357,18092760,95,22,367,6892
2015-04-21,B3,16930377,17703626,17141357,18075117,95,12,367,6892
2015-04-22,B0,16415907,17497874,16415907,17497874,0,0,261,6892
2015-04-22,B1,16243407,17308874,16415907,17497874,95,23,261,6892
2015-04-22,B2,16256507,17319874,16415907,17497874,95,29,261,6892
